Trial,Temperature (C),Output_Run1,Output_Run2,Output_Run3
1,20,1.17,1.21,1.19
2,20,1.16,1.20,1.18
3,20,1.19,1.22,1.20
4,21,1.20,1.23,1.21
5,21,1.18,1.22,1.19
6,22,1.24,1.28,1.26
7,22,1.25,1.27,1.26
8,23,1.30,1.34,1.32
9,23,1.31,1.35,1.33
10,24,1.38,1.41,1.39
11,24,1.37,1.42,1.40
12,25,1.52,1.58,1.55
13,25,1.53,1.60,1.56
14,26,1.60,1.66,1.63
15,26,1.62,1.67,1.64
16,27,1.70,1.75,1.72
17,27,1.69,1.74,1.71
18,28,1.80,1.86,1.83
19,28,1.82,1.87,1.84
20,29,1.92,1.98,1.95
21,29,1.93,1.99,1.96
22,30,2.04,2.10,2.07
23,30,2.05,2.11,2.08
24,31,2.18,2.23,2.20
25,31,2.17,2.24,2.21
26,32,2.32,2.38,2.35
27,32,2.34,2.39,2.36
28,33,2.48,2.55,2.51
29,33,2.50,2.56,2.52
30,34,2.65,2.71,2.68
31,34,2.66,2.72,2.69
32,35,2.82,2.88,2.85
33,35,2.83,2.90,2.87
34,35,2.85,2.92,2.88
35,34,2.67,2.73,2.70
36,33,2.49,2.54,2.51
37,32,2.33,2.37,2.35
38,31,2.19,2.24,2.21
39,30,2.06,2.12,2.09
40,29,1.94,2.00,1.97
41,28,1.81,1.86,1.83
42,27,1.71,1.76,1.73
43,26,1.61,1.66,1.63
44,25,1.54,1.59,1.56
45,24,1.38,1.42,1.40
46,23,1.31,1.35,1.33
